cancer	patient	drug	response
blood	L.540	Cisplatin	4.616117
blood	J.RT3.T3.5	Cisplatin	1.149941
blood	LAMA.84	Cisplatin	2.600591
lung	LC.2.ad	Cisplatin	2.50491
blood	LC4.1	Cisplatin	4.131843
urogenital_system	LNCaP.Clone.FGC	Cisplatin	6.244892
blood	LOUCY	Cisplatin	2.254842
digestive_system	LoVo	Cisplatin	4.063504
blood	LP.1	Cisplatin	6.389407
digestive_system	LS.123	Cisplatin	4.763031
digestive_system	LS.411N	Cisplatin	4.196372
digestive_system	LS.513	Cisplatin	5.506352
lung	LU.99A	Cisplatin	1.457321
blood	MC116	Cisplatin	7.37735
nervous_system	MC.IXC	Cisplatin	0.518387
breast	MDA.MB.175.VII	Cisplatin	4.244827
breast	MDA.MB.361	Cisplatin	2.916008
breast	MDA.MB.453	Cisplatin	6.166694
breast	MDA.MB.468	Cisplatin	1.899596
skin	MEL.HO	Cisplatin	1.916537
skin	MEL.JUSO	Cisplatin	2.931917
blood	MEG.01	Cisplatin	3.973309
urogenital_system	MES.SA	Cisplatin	2.016593
skin	Mewo	Cisplatin	2.813478
urogenital_system	MFE.280	Cisplatin	6.111393
urogenital_system	MFE.296	Cisplatin	4.117331
bone	MG.63	Cisplatin	4.609352
blood	MHH.CALL.2	Cisplatin	2.673449
bone	MHH.ES.1	Cisplatin	0.841311
nervous_system	MHH.NB.11	Cisplatin	1.575555
blood	MHH.PREB.1	Cisplatin	5.262081
digestive_system	MKN1	Cisplatin	3.740548
digestive_system	MKN28	Cisplatin	4.158921
blood	ML.2	Cisplatin	2.362305
blood	MLMA	Cisplatin	2.955775
blood	MN.60	Cisplatin	6.604341
blood	MOLT.13	Cisplatin	4.026093
blood	MOLT.16	Cisplatin	1.750679
blood	MONO.MAC.6	Cisplatin	3.453379
blood	Mo.T	Cisplatin	1.724717
lung	MPP.89	Cisplatin	2.191885
breast	MRK.nu.1	Cisplatin	6.5848
lung	MSTO.211H	Cisplatin	4.044288
blood	MV.4.11	Cisplatin	1.583078
blood	NALM.6	Cisplatin	5.685823
nervous_system	NB69	Cisplatin	3.952423
lung	NCI.H520	Cisplatin	4.288214
digestive_system	NCI.SNU.1	Cisplatin	5.032117
digestive_system	NCI.SNU.5	Cisplatin	3.6598
digestive_system	NCI.SNU.16	Cisplatin	5.433865
nervous_system	NH.12	Cisplatin	2.582414
blood	NKM.1	Cisplatin	1.463235
nervous_system	NMC.G1	Cisplatin	2.676983
nervous_system	no.11	Cisplatin	2.745953
blood	NOMO.1	Cisplatin	4.188152
nervous_system	no.10	Cisplatin	4.354462
urogenital_system	NTERA.S.cl.D1	Cisplatin	0.16429
digestive_system	NUGC.3	Cisplatin	0.762168
digestive_system	NCI.H747	Cisplatin	6.171158
digestive_system	NCI.H716	Cisplatin	4.696618
lung	NCI.H596	Cisplatin	5.718735
lung	NCI.H441	Cisplatin	5.295018
digestive_system	NCI.N87	Cisplatin	3.495386
lung	NCI.H2452	Cisplatin	5.363383
lung	NCI.H1793	Cisplatin	2.951665
lung	NCI.H358	Cisplatin	4.506685
lung	NCI.H1155	Cisplatin	2.280691
lung	NCI.H28	Cisplatin	4.760889
lung	NCI.H1581	Cisplatin	2.497983
lung	NCI.H1573	Cisplatin	4.721239
lung	NCI.H1666	Cisplatin	3.47389
lung	NCI.H1703	Cisplatin	4.999723
lung	NCI.H1755	Cisplatin	5.333582
lung	NCI.H1993	Cisplatin	7.209714
digestive_system	NCI.H630	Cisplatin	6.241252
lung	NCI.H524	Cisplatin	2.139932
nervous_system	ONS.76	Cisplatin	1.373483
blood	OPM.2	Cisplatin	6.40308
kidney	OS.RC.2	Cisplatin	1.354171
blood	P12.ICHIKAWA	Cisplatin	6.331195
blood	P30.OHK	Cisplatin	1.877267
blood	P31.FUJ	Cisplatin	5.74896
urogenital_system	PA.1	Cisplatin	0.598542
breast	OCUB.M	Cisplatin	6.401837
urogenital_system	OC.314	Cisplatin	3.270162
blood	PF.382	Cisplatin	4.639097
blood	Raji	Cisplatin	3.913617
digestive_system	RCM.1	Cisplatin	4.809574
soft_tissue	RD	Cisplatin	2.677687
blood	REH	Cisplatin	3.06135
digestive_system	RKO	Cisplatin	4.279205
urogenital_system	RMG.I	Cisplatin	7.051461
aero_digestive_tract	RPMI.2650	Cisplatin	4.324789
blood	RPMI.6666	Cisplatin	1.855705
blood	RPMI.8402	Cisplatin	3.463524
blood	RS4.11	Cisplatin	1.718147
urogenital_system	RT.112	Cisplatin	2.66144
skin	RVH.421	Cisplatin	3.704713
bone	Saos.2	Cisplatin	3.593025
aero_digestive_tract	SAS	Cisplatin	2.920069
aero_digestive_tract	SCC.9	Cisplatin	3.159347
digestive_system	SCH	Cisplatin	2.577083
nervous_system	SF126	Cisplatin	2.320517
skin	SH.4	Cisplatin	4.229024
soft_tissue	SJRH30	Cisplatin	2.674461
bone	SJSA.1	Cisplatin	3.134084
digestive_system	SK.CO.1	Cisplatin	1.025574
digestive_system	SK.HEP.1	Cisplatin	3.3638
soft_tissue	SK.LMS.1	Cisplatin	2.152547
lung	SK.LU.1	Cisplatin	1.998357
blood	SKM.1	Cisplatin	1.555632
skin	SK.MEL.1	Cisplatin	6.493032
skin	SK.MEL.3	Cisplatin	6.527849
skin	SK.MEL.24	Cisplatin	3.77812
skin	SK.MEL.30	Cisplatin	1.647661
lung	SK.MES.1	Cisplatin	4.857482
nervous_system	SK.MG.1	Cisplatin	2.041884
kidney	SK.NEP.1	Cisplatin	1.220367
bone	SK.PN.DW	Cisplatin	0.190707
soft_tissue	SK.UT.1	Cisplatin	2.554108
urogenital_system	SNG.M	Cisplatin	4.435205
digestive_system	SNU.387	Cisplatin	3.757981
digestive_system	SNU.423	Cisplatin	4.707011
digestive_system	SNU.449	Cisplatin	4.276304
digestive_system	SNU.C2B	Cisplatin	3.861502
blood	SUP.T1	Cisplatin	5.869411
kidney	SW13	Cisplatin	2.660853
nervous_system	SW1088	Cisplatin	2.272055
digestive_system	SW1116	Cisplatin	5.065315
digestive_system	SW1417	Cisplatin	5.268595
digestive_system	SW1463	Cisplatin	5.240491
urogenital_system	SW1710	Cisplatin	3.793827
nervous_system	SW1783	Cisplatin	3.14837
digestive_system	SW48	Cisplatin	2.221034
urogenital_system	SW626	Cisplatin	3.499071
soft_tissue	SW684	Cisplatin	6.379987
digestive_system	SW837	Cisplatin	5.249529
soft_tissue	SW872	Cisplatin	1.001754
digestive_system	SW948	Cisplatin	5.404461
urogenital_system	SW962	Cisplatin	4.16857
soft_tissue	SW982	Cisplatin	2.033649
digestive_system	T84	Cisplatin	5.875789
digestive_system	TGBC1TKB	Cisplatin	4.413548
